,symbol,name,price,change,per_change,volume,avg_volume,market_cap,p_e_ratio,year_percent_change
104,KVUE,Kenvue Inc.,23.07,-0.42,-1.79,13897000.0,13890000.0,44092000000.0,42.72,15.09
105,FCX,Freeport-McMoRan Inc.,36.78,0.9,2.51,13838000.0,14431000.0,52855000000.0,28.29,-17.35
106,UMC,United Microelectronics Corporation,6.62,-0.05,-0.75,13820000.0,13501000.0,16992999999.999998,10.68,-19.83
107,LYFT,"Lyft, Inc.",11.61,0.18,1.57,15604000.0,18576000.0,4853000000.0,193.5,-37.4
108,ORCL,Oracle Corporation,150.89,6.71,4.65,13612000.0,11128000.0,422033000000.0,35.5,14.87
109,PR,Permian Resources Corporation,13.32,0.46,3.58,13531000.0,8292999.999999999,10703000000.0,9.19,-20.96
110,UAA,"Under Armour, Inc.",7.19,-0.19,-2.57,13485000.0,10571000.0,2944000000.0,,-8.89
111,S,"SentinelOne, Inc.",19.3,0.55,2.93,14762000.0,4389000.0,6202000000.0,,-32.89
112,CX,"CEMEX, S.A.B. de C.V.",6.0,0.01,0.17,13327000.0,10134000.0,8705000000.0,9.84,-26.59
113,JPM,JPMorgan Chase & Co.,227.9,-1.24,-0.54,16038000.0,10008000.0,637233000000.0,11.54,19.73
114,PCG,PG&E Corporation,16.22,0.03,0.19,13042000.0,23504000.0,35580000000.0,14.1,-1.28
115,VST,Vistra Corp.,121.92,7.56,6.61,12931000.0,8636000.0,41326000000.0,17.42,86.98
116,KHC,The Kraft Heinz Company,30.3,-0.8,-2.57,13429000.0,10465000.0,36208000000.0,13.41,-9.93
117,APP,AppLovin Corporation,272.59,14.83,5.75,12725000.0,6833000.0,92669000000.0,60.17,308.56
118,AEG,Aegon Ltd.,6.26,0.17,2.79,12714000.0,5645000.0,10186000000.0,,4.46
119,CCCS,CCC Intelligent Solutions Holdings Inc.,9.13,-0.07,-0.76,12643000.0,5555000.0,5940000000.0,228.25,-24.96
120,WIT,Wipro Limited,3.08,-0.06,-1.91,12389000.0,4853000.0,32645000000.000004,22.0,-47.75
121,TTD,"The Trade Desk, Inc.",60.2,1.36,2.31,12375000.0,7325000.0,29865000000.0,77.18,-26.6
122,VNET,"VNET Group, Inc.",11.0,-0.91,-7.64,12102000.0,8234999.999999999,2937000000.0,,510.77
123,JOBY,"Joby Aviation, Inc.",6.31,0.28,4.64,11635000.0,14789000.0,4971000000.0,,12.71
124,UAL,"United Airlines Holdings, Inc.",72.46,-3.6,-4.73,12561000.0,6966000.0,23719000000.0,7.67,76.72
125,USB,U.S. Bancorp,41.68,0.12,0.29,11633000.0,9117000.0,64938000000.0,11.0,-4.39
126,TEM,"Tempus AI, Inc.",45.5,-0.08,-0.18,11444000.0,12254000.0,7836000000.0,,13.24
127,PYPL,"PayPal Holdings, Inc.",68.62,0.64,0.94,11401000.0,11500000.0,67882000000.00001,17.2,8.86
128,ASTS,"AST SpaceMobile, Inc.",27.56,-1.1,-3.84,11607000.0,11540000.0,8723000000.0,,824.52
129,RF,Regions Financial Corporation,21.06,0.07,0.33,11287000.0,8380000.000000001,19069000000.0,10.91,8.2
130,KMI,"Kinder Morgan, Inc.",26.52,0.11,0.42,11235000.0,14758000.0,58926000000.0,22.67,47.62
131,NXE,NexGen Energy Ltd.,4.81,0.07,1.48,11040000.0,8870000.0,2737000000.0,,-33.98
132,VTRS,Viatris Inc.,9.24,-0.1,-1.07,11020000.0,11915000.0,11030000000.0,,-22.49
133,RDDT,"Reddit, Inc.",130.68,7.95,6.48,11016000.0,6500000.0,23641000000.0,,143.32
134,IVZ,Invesco Ltd.,15.25,0.01,0.07,10921000.0,4248000.0,6826000000.0,12.92,-3.18
135,AVTR,"Avantor, Inc.",15.79,-1.14,-6.73,10885000.0,6002000.0,10751000000.0,15.18,-33.32
136,IPG,"The Interpublic Group of Companies, Inc.",26.35,-0.96,-3.52,10855000.0,5840000.0,9819000000.0,14.4,-17.32
137,UEC,Uranium Energy Corp.,5.13,0.07,1.38,11445000.0,7668000.0,2170000000.0,,-22.03
138,SBSW,Sibanye Stillwater Limited,3.9,-0.14,-3.47,10622000.0,7191000.0,2760000000.0,,-14.95
139,AMTM,"Amentum Holdings, Inc.",18.42,1.38,8.1,10616000.0,3039000.0,4482000000.0,,-42.26
140,AUR,"Aurora Innovation, Inc.",6.25,-0.07,-1.19,12648000.0,14783000.0,10878000000.0,,184.91
141,CMG,"Chipotle Mexican Grill, Inc.",50.05,0.07,0.14,10524000.0,10842000.0,67834999999.99999,45.09,-8.22
142,NWL,Newell Brands Inc.,6.58,0.04,0.61,11595000.0,8289999.999999999,2739000000.0,,-16.48
143,LRCX,Lam Research Corporation,76.59,3.23,4.4,12643000.0,12963000.0,98316000000.0,23.28,-20.84
144,MPW,"Medical Properties Trust, Inc.",5.97,0.27,4.74,10311000.0,13683000.0,3586000000.0,,28.96
145,ANET,Arista Networks Inc,80.25,1.12,1.42,10273000.0,10009000.0,101205000000.0,35.99,12.76
146,DKNG,DraftKings Inc.,38.63,-0.03,-0.08,10180000.0,10367000.0,18927000000.0,,-8.48
147,PG,The Procter & Gamble Company,168.37,-4.75,-2.74,10156000.0,7425000.0,394802000000.0,26.81,6.67
148,COP,ConocoPhillips,97.75,2.34,2.45,10146000.0,7750000.0,124375000000.0,12.52,-18.83
149,DIS,The Walt Disney Company,98.76,0.86,0.88,11865000.0,8715000.0,178537000000.0,32.06,-12.98
150,U,Unity Software Inc.,21.51,0.54,2.58,10786000.0,11934000.0,8812000000.0,,-19.9
151,VRT,Vertiv Holdings Co,85.38,2.26,2.72,9823000.0,9868000.0,32511000000.000004,66.7,13.29
152,DASH,"DoorDash, Inc.",187.7,3.97,2.16,9814000.0,3791000.0,78852000000.0,647.24,38.75
153,APH,Amphenol Corporation,62.83,1.19,1.93,9807000.0,7636000.0,76092000000.0,32.72,11.54
154,NVO,Novo Nordisk A/S,74.79,-3.32,-4.25,9833000.0,9178000.0,327650000000.0,22.66,-41.49
155,XOM,Exxon Mobil Corporation,109.13,-0.03,-0.03,9736000.0,15842000.0,473530000000.0,13.92,-0.34
156,TPR,"Tapestry, Inc.",71.69,-0.28,-0.39,9693000.0,5165000.0,14841000000.0,20.84,50.56
157,FHN,First Horizon Corporation,18.73,0.54,2.97,9644000.0,6275000.0,9773000000.0,13.77,22.33
158,NEE,"NextEra Energy, Inc.",72.92,-1.11,-1.5,9643000.0,11286000.0,149999000000.0,21.64,24.34
159,GGB,Gerdau S.A.,2.81,-0.07,-2.43,9523000.0,10813000.0,5539000000.0,7.21,-21.28
160,AES,The AES Corporation,11.83,-0.16,-1.33,9555000.0,15211000.0,8422000000.000001,4.99,-23.87
161,AEO,"American Eagle Outfitters, Inc.",11.45,-0.04,-0.35,9466000.0,4588000.0,2200000000.0,9.79,-50.5
162,NKE,"NIKE, Inc.",73.58,-0.59,-0.8,9502000.0,13496000.0,108834000000.0,22.71,-26.83
163,IAG,IAMGOLD Corporation,5.71,0.16,2.88,9429000.0,11085000.0,3268000000.0,3.81,77.32
164,HST,"Host Hotels & Resorts, Inc.",15.11,-0.23,-1.5,9557000.0,8240000.0,10706000000.0,15.26,-26.29
165,COIN,"Coinbase Global, Inc.",191.73,0.04,0.02,9543000.0,9163000.0,48676000000.0,20.2,-23.85
166,NFE,New Fortress Energy Inc.,8.8,-0.46,-4.97,9283000.0,4813000.0,2409000000.0,,-71.47
167,MRK,"Merck & Co., Inc.",93.35,-1.38,-1.46,9260000.0,14519000.0,235806000000.0,13.85,-22.45
168,SCHW,The Charles Schwab Corporation,74.22,1.75,2.41,9262000.0,11403000.0,134603000000.00002,24.82,7.95
169,HPQ,HP Inc.,28.47,0.14,0.49,9173000.0,6920000.0,26839000000.0,10.24,-6.93
170,EQX,Equinox Gold Corp.,6.62,0.05,0.76,8976000.0,7121000.0,3023000000.0,8.83,30.36
171,BMY,Bristol-Myers Squibb Company,59.81,-1.7,-2.76,9020000.0,11907000.0,121373000000.0,,16.83
172,VICI,VICI Properties Inc.,32.09,-0.26,-0.8,8831000.0,6768000.0,33898000000.000004,12.54,10.37
173,TGT,Target Corporation,107.28,-5.48,-4.86,8691000.0,5781000.0,48873000000.0,12.11,-32.35
174,SLB,Schlumberger Limited,40.05,-0.03,-0.07,8693000.0,14399000.0,54462000000.0,12.88,-23.76
175,FLG,"Flagstar Financial, Inc.",11.66,0.43,3.83,8625000.0,6695000.0,4836000000.0,,-0.18
176,KDP,Keurig Dr Pepper Inc.,32.81,-0.43,-1.29,10320000.0,11800000.0,44515000000.0,31.25,15.02
177,LI,Li Auto Inc.,29.73,0.24,0.81,8673000.0,6012000.0,31115000000.0,22.35,-23.22
178,MO,"Altria Group, Inc.",57.81,-0.34,-0.58,8388000.0,8406000.0,97737000000.0,8.84,34.14
179,CVE,Cenovus Energy Inc.,13.22,0.27,2.08,8337000.0,10827000.0,24098000000.0,11.4,-29.7
180,HLN,Haleon plc,10.19,-0.2,-1.92,8304000.0,9493000.0,46078000000.0,24.85,20.95
181,QS,QuantumScape Corporation,4.32,0.08,1.89,8262000.0,16318000.000000002,2363000000.0,,-27.89
182,ALIT,"Alight, Inc.",6.06,0.03,0.5,8223000.000000001,6309000.0,3352000000.0,,-32.85
183,PEP,"PepsiCo, Inc.",148.17,-4.16,-2.73,8132999.999999999,7304000.0,203215000000.0,21.32,-7.85
184,CVX,Chevron Corporation,152.67,-1.41,-0.92,8151000.0,8161000.0,268791000000.0,15.71,0.12
185,GILD,"Gilead Sciences, Inc.",113.99,-0.44,-0.38,8066000.000000001,7907000.0,141957000000.0,299.97,50.68
186,SBUX,Starbucks Corporation,98.69,-0.89,-0.89,9425000.0,10291000.0,112105000000.0,31.84,8.7
187,AFRM,"Affirm Holdings, Inc.",48.81,2.04,4.36,8129000.0,6971000.0,15624000000.0,,20.57
188,JD,"JD.com, Inc.",40.37,-0.38,-0.93,8536000.0,12283000.0,62478000000.0,10.88,45.48
189,VFC,V.F. Corporation,16.75,-0.58,-3.35,7952000.0,6115000.0,6525000000.0,,11.81
190,MS,Morgan Stanley,114.0,1.96,1.75,7922000.0,6906000.0,183866000000.0,14.34,25.39
191,VLY,Valley National Bancorp,8.69,0.11,1.28,7921000.0,8381000.0,4869000000.0,12.59,9.16
192,NOV,NOV Inc.,14.1,-0.15,-1.05,7900000.0,4494000.0,5370000000.0,8.81,-22.97
193,WMB,"The Williams Companies, Inc.",56.3,1.35,2.46,7875000.0,7646000.0,68651000000.0,30.93,48.75
194,DELL,Dell Technologies Inc.,94.58,3.01,3.29,7867000.0,8223000.000000001,65989000000.00001,14.82,-16.75
195,GM,General Motors Company,47.9,-0.38,-0.79,7901000.0,11757000.0,47661000000.0,7.52,19.92
196,BA,The Boeing Company,158.8,4.74,3.08,7861000.0,8770000.0,119482000000.0,,-15.51
197,WU,The Western Union Company,10.64,-0.34,-3.1,7825000.0,5707000.0,3596000000.0,3.88,-18.97
198,CNQ,Canadian Natural Resources Limited,29.25,0.52,1.81,7776000.0,6429000.0,61425000000.0,14.77,-22.27
199,HAL,Halliburton Company,24.71,0.05,0.2,7735000.0,10729000.0,21451000000.0,8.73,-32.49
200,HBI,Hanesbrands Inc.,5.79,0.02,0.35,7705000.0,6572000.0,2045000000.0,,8.05
201,CL,Colgate-Palmolive Company,90.82,-3.28,-3.49,7789000.0,4951000.0,73704000000.0,25.87,5.49
202,KKR,KKR & Co. Inc.,114.37,2.26,2.02,7679000.0,4935000.0,105543000000.0,34.87,14.44
203,TME,Tencent Music Entertainment Group,12.23,0.02,0.16,7650000.0,7488000.0,22546000000.0,23.08,15.52
204,SHOP,Shopify Inc.,96.53,3.58,3.85,8086000.0,7914000.0,124830000000.0,62.28,18.14
205,EXC,Exelon Corporation,42.61,-0.79,-1.82,9282000.0,7452000.0,42832000000.0,17.39,17.33
206,DVN,Devon Energy Corporation,34.75,0.34,0.99,7614000.0,10667000.0,22537000000.0,7.62,-27.42
207,OXY,Occidental Petroleum Corporation,46.1,-0.18,-0.39,7674000.0,11984000.0,43296000000.0,20.4,-25.43
208,PARA,Paramount Global,11.58,0.11,0.96,8151000.0,9357000.0,8225000000.0,,-1.8
209,NEM,Newmont Corporation,43.63,0.21,0.48,7535000.0,10135000.0,49165000000.0,15.26,26.33
210,BEKE,KE Holdings Inc.,22.46,-0.96,-4.1,7504000.0,8201000.000000001,27382000000.0,45.84,62.87
211,HSAI,Hesai Group,22.55,-1.53,-6.35,7566000.0,3805000.0,2875000000.0,,417.29
212,CRH,CRH plc,98.38,3.75,3.96,7469000.0,4751000.0,66702000000.0,19.6,11.71
213,BP,BP p.l.c.,32.2,0.22,0.69,7517000.0,11211000.0,85024000000.0,230.0,-14.31
214,CELH,"Celsius Holdings, Inc.",27.49,-0.34,-1.22,7301000.0,9997000.0,6464000000.0,61.09,-71.04
215,FE,FirstEnergy Corp.,38.21,-0.94,-2.4,7299000.0,4725000.0,22036000000.0,22.48,2.78
216,VKTX,"Viking Therapeutics, Inc.",29.55,3.03,11.43,7467000.0,4512000.0,3317000000.0,,-63.15
217,BILI,Bilibili Inc.,21.29,-1.48,-6.5,7249000.0,6798000.0,9053000000.0,,82.01
218,SYF,Synchrony Financial,53.61,1.62,3.12,7168000.0,3884000.0,20841000000.0,6.27,19.57
219,AMAT,"Applied Materials, Inc.",149.06,2.07,1.41,8122999.999999999,6839000.0,121102000000.0,19.51,-26.71
220,BKR,Baker Hughes Company,42.48,0.63,1.51,7129000.0,7348000.0,42060000000.0,14.26,31.81
